stockCode,stockName,changeReason,changeDate
000001,平安银行,公司更名,2012-08-02 00:00:00
000001,深发展A,简称变更,2007-06-20 00:00:00
000001,S深发展A,未完成股改公司冠以“S”标记,2006-10-09 00:00:00
000001,深发展A,新上市,1991-04-03 00:00:00
000002,万科A,简称变更,2006-10-09 00:00:00
000002,G万科A,简称变更,2005-12-02 00:00:00
000002,万科A,简称变更,2002-03-15 00:00:00
000002,深万科A,新上市,1991-01-29 00:00:00
000003,PT金田A,暂停上市,2001-05-11 00:00:00
000003,PT金田A,暂停上市,2001-05-09 00:00:00
000003,ST金田A,实施其他风险警示,2000-05-09 00:00:00
000003,深金田A,新上市,1991-07-03 00:00:00
000004,*ST国华,实施退市风险警示,2025-04-30 00:00:00
000004,国华网安,撤销其他风险警示,2023-06-28 00:00:00
000004,ST国华,实施其他风险警示,2022-05-06 00:00:00
000004,国华网安,简称变更,2020-12-01 00:00:00
000004,国农科技,撤销其他风险警示,2011-06-08 00:00:00
000004,ST国农,撤销退市风险警示及实施其他风险警示,2010-05-31 00:00:00
000004,*ST国农,实施退市风险警示,2009-04-21 00:00:00
000004,ST国农,撤销退市风险警示及实施其他风险警示,2007-05-25 00:00:00
000004,*ST国农,简称变更,2006-10-09 00:00:00
000004,G*ST国农,简称变更,2006-08-18 00:00:00
000004,*ST国农,实施退市风险警示,2006-04-21 00:00:00
000004,国农科技,简称变更,2005-08-18 00:00:00
000004,北大高科,简称变更,2001-04-18 00:00:00
000004,深安达A,取消特别处理,2001-03-07 00:00:00
000004,深安达A,撤销其他风险警示,2001-03-06 00:00:00
000004,ST深安达,实施其他风险警示,1999-04-27 00:00:00
000004,深安达A,上市,1991-01-14 00:00:00
000004,深安达A,新上市,1990-12-01 00:00:00
000005,ST星源,实施其他风险警示,2021-05-06 00:00:00
000005,世纪星源,撤消其他特别处理,2008-06-25 00:00:00
000005,ST星源,简称变更,2006-10-09 00:00:00
000005,GST星源,简称变更,2006-07-31 00:00:00
000005,ST星源,撤销退市风险警示及实施其他风险警示,2004-05-18 00:00:00
000005,*ST星源,实施退市风险警示,2003-05-12 00:00:00
000005,ST星源,实施其他风险警示,2003-04-16 00:00:00
000005,世纪星源,简称变更,1996-06-15 00:00:00
000005,深星源A,简称变更,1994-01-03 00:00:00
000005,深原野A,新上市,1990-12-10 00:00:00
000006,深振业A,简称变更,2006-10-09 00:00:00
000006,G深振业,简称变更,2006-01-12 00:00:00
000006,深振业A,新上市,1992-04-27 00:00:00
000007,全新好,撤销退市风险警示,2024-07-02 00:00:00
000007,*ST全新,实施退市风险警示,2023-05-05 00:00:00
000007,全新好,撤销退市风险警示,2022-07-01 00:00:00
000007,*ST全新,实施退市风险警示,2021-04-30 00:00:00
000007,全新好,简称变更,2016-02-17 00:00:00
000007,零七股份,撤销其他风险警示,2012-05-04 00:00:00
000007,ST零七,简称变更,2010-01-27 00:00:00
000007,ST达声,实施其他风险警示,2007-04-23 00:00:00
000007,深达声A,简称变更,2006-10-09 00:00:00
000007,G深达声,简称变更,2006-08-14 00:00:00
000007,深达声A,撤销其他风险警示,2002-04-12 00:00:00
000007,ST达声,实施其他风险警示,2001-04-19 00:00:00
000007,深达声A,新上市,1992-04-13 00:00:00
000008,神州高铁,变更公司名称,2015-03-13 00:00:00
000008,宝利来,撤销其他风险警示,2013-04-19 00:00:00
000008,ST宝利来,实施其他特别处理,2008-04-03 00:00:00
000008,*ST宝投,实施退市风险警示,2007-03-30 00:00:00
000008,宝利来,简称变更,2006-10-09 00:00:00
000008,G宝利来,简称变更,2005-12-13 00:00:00
000008,宝利来,简称变更,2005-05-23 00:00:00
000008,亿安科技,撤消股票交易其他特别处理。,2005-02-22 00:00:00
000008,ST亿安,撤销退市风险警示及实施其他风险警示,2004-02-20 00:00:00
000008,*ST亿安,实施退市风险警示,2003-05-12 00:00:00
000008,ST亿安,实施其他风险警示,2002-04-30 00:00:00
000008,亿安科技,公司更名,1999-08-18 00:00:00
000008,深锦兴A,新上市,1992-05-07 00:00:00
000009,中国宝安,实施股权分置改革,2008-05-16 00:00:00
000009,S深宝安A,未完成股改公司冠以“S”标记,2006-10-09 00:00:00
000009,深宝安A,撤销其他风险警示,2000-04-14 00:00:00
000009,ST深宝安,实施特别处理,1999-04-30 00:00:00
000009,深宝安A,新上市,1991-06-25 00:00:00
000010,美丽生态,撤销退市风险警示,2020-07-22 00:00:00
