conceptCode,conceptName
CLS80003,单抗
CLS80005,中药
CLS80006,教育产业
CLS80007,猪肉产业
CLS80008,体外诊断
CLS80009,家禽
CLS80010,基因测序
CLS80012,水产
CLS80014,白酒
CLS80019,啤酒
CLS80025,PCB
CLS80030,天然气
CLS80032,食品饮料
CLS80035,电子车牌
CLS80036,电子发票
CLS80037,调味品
CLS80039,休闲食品
CLS80041,乳业奶粉
CLS80043,免疫治疗
CLS80044,创新药
CLS80045,饲料
CLS80048,快递物流
CLS80051,家电
CLS80052,西部开发
CLS80053,核电
CLS80054,医药生物
CLS80055,工程机械
CLS80056,煤炭
CLS80057,甲醇
CLS80058,旅游酒店
CLS80059,PTA
CLS80060,海工装备
CLS80061,维生素
CLS80062,糖
CLS80063,PVC
CLS80064,疫苗
CLS80065,钛白粉
CLS80066,血制品
CLS80068,染料涂料
CLS80069,工业互联网
CLS80072,WIFI
CLS80073,量子科技
CLS80074,锰硅
CLS80075,苹果产业链
CLS80076,区块链
CLS80078,保险概念
CLS80081,油气设服
CLS80084,玻璃
CLS80085,水泥
CLS80086,雄安新区
CLS80087,东盟自贸区
CLS80088,期货概念
CLS80090,汽车后市场
CLS80092,氢能
CLS80093,盐湖提锂
CLS80094,特斯拉概念
CLS80095,小米概念
CLS80096,宁德时代概念
CLS80097,Facebook概念
CLS80098,谷歌概念
CLS80099,阿里巴巴概念
CLS80100,百度概念
CLS80101,动物保健
CLS80103,冷链
CLS80104,无线充电
CLS80105,人脸识别
CLS80106,知识产权
CLS80107,超导
CLS80108,征信
CLS80110,智慧城市
CLS80111,云计算
CLS80112,北斗导航
CLS80113,粤港澳大湾区
CLS80115,有色·铜
CLS80116,有色·锌
CLS80117,有色·铝
CLS80118,航母
CLS80119,有色·钨
CLS80120,有色·钼
CLS80121,有色·锑
CLS80122,有色·钒
CLS80123,有色·锆
CLS80124,有色·钴
CLS80125,有色·镍
CLS80126,有色·镁
CLS80127,有色·钛
CLS80128,水务
CLS80129,职业教育
CLS80130,稀土永磁
CLS80131,房地产概念
CLS80133,化工
CLS80134,AMC
CLS80135,高铁轨交
CLS80136,高速公路
CLS80138,港口
CLS80139,航运
CLS80140,光伏
CLS80141,重卡
CLS80142,高校
CLS80143,一带一路
CLS80144,上海国资
CLS80145,电力
CLS80146,风电
CLS80147,农业种植
CLS80148,新零售
CLS80149,电梯
CLS80150,化肥
CLS80151,农药
CLS80152,病菌防治
CLS80153,草甘膦
CLS80154,水利
CLS80156,赛马
CLS80157,沥青
CLS80158,橡胶
CLS80159,网红经济
CLS80160,造纸
CLS80161,通用航空
CLS80162,彩票
CLS80164,婴童
CLS80165,油气改革
CLS80170,新能源汽车
CLS80171,房屋租赁
CLS80172,乡村振兴
CLS80175,上海自贸区
CLS80176,装配式建筑
CLS80177,地下管廊
CLS80179,油品升级
CLS80180,烧碱
CLS80181,创投
CLS80182,铁矿石
CLS80183,纺织服装
CLS80185,盖板玻璃
CLS80186,3D打印
CLS80187,3D感应
CLS80189,光通信
CLS80190,LED
CLS80191,OLED
CLS80193,振兴东北
CLS80194,VR/AR
CLS80195,半导体芯片
CLS80196,充电桩
CLS80197,储能
CLS80198,锂电池
CLS80199,大数据
CLS80200,国产软件
CLS80201,机器人概念
CLS80202,深圳国资
CLS80203,山东国资
CLS80204,电力改革
CLS80206,智能制造
CLS80207,人工智能
CLS80208,车联网
CLS80209,广东国资
CLS80211,江苏国资
CLS80212,河南国资
CLS80213,北京国资
CLS80214,重庆国资
CLS80215,安徽国资
CLS80216,新疆国资
CLS80217,湖南国资
CLS80218,国企改革
CLS80219,浙江国资
CLS80220,天津国资
CLS80221,山西国资
CLS80222,军工
CLS80223,央企改革
CLS80224,氟化工
CLS80225,有机硅
CLS80226,体育产业
CLS80227,煤化工
CLS80228,盐
CLS80229,手势识别
CLS80230,虹膜识别
CLS80231,指纹识别
CLS80232,智能交通
CLS80233,智能驾驶
CLS80234,农机
CLS80235,大飞机
CLS80236,土壤修复
CLS80237,石油化工
CLS80238,大气治理
CLS80239,医疗信息化
CLS80241,橡塑
CLS80245,电商
CLS80246,液态金属
CLS80248,电竞
CLS80250,回购
CLS80251,电子烟
CLS80252,养老金持股
CLS80253,游戏
CLS80258,RFID
CLS80259,传感器
CLS80260,工业物联网
CLS80261,物联网
CLS80262,动漫产业
CLS80263,石墨烯
CLS80264,一汽系
CLS80265,轮胎
CLS80266,汽车零部件
CLS80267,特高压
CLS80268,汽车
CLS80270,生态园林
CLS80271,养老
CLS80272,股权转让
CLS80274,网络安全
CLS80275,食品安全
CLS80278,民航
CLS80279,包装印刷
CLS80280,固废处理
CLS80284,尿素
CLS80286,石墨电极
CLS80287,中科院系
CLS80289,精准医疗
CLS80290,人脑工程
CLS80291,广电系
CLS80293,节能环保
CLS80294,家居装饰
CLS80295,PPP
CLS80301,土地流转
CLS80302,污水处理
CLS80306,基因编辑
CLS80309,举牌
CLS80311,芬太尼概念
CLS80312,数字营销
CLS80315,建材
CLS80316,石油
CLS80317,纯碱
CLS80318,边缘计算
CLS80319,移动支付
CLS80320,恒大概念
