industryCode,industryName,industryType,industryLevel,indexCode
110000,农林牧渔,INDUS4CL,1,801010
110100,种植业,INDUS4CL,2,801016
110101,种子,INDUS4CL,3,850111
110102,粮食种植,INDUS4CL,3,850112
110103,其他种植业,INDUS4CL,3,850113
110104,食用菌,INDUS4CL,3,850114
110200,渔业,INDUS4CL,2,801015
110201,海洋捕捞,INDUS4CL,3,850121
110202,水产养殖,INDUS4CL,3,850122
110300,林业Ⅱ,INDUS4CL,2,801011
110301,林业Ⅲ,INDUS4CL,3,850131
110400,饲料,INDUS4CL,2,801014
110402,畜禽饲料,INDUS4CL,3,850142
110403,水产饲料,INDUS4CL,3,850143
110404,宠物食品,INDUS4CL,3,850144
110500,农产品加工,INDUS4CL,2,801012
110501,果蔬加工,INDUS4CL,3,850151
110502,粮油加工,INDUS4CL,3,850152
110504,其他农产品加工,INDUS4CL,3,850154
110700,养殖业,INDUS4CL,2,801017
110702,生猪养殖,INDUS4CL,3,850172
110703,肉鸡养殖,INDUS4CL,3,850173
110704,其他养殖,INDUS4CL,3,850174
110800,动物保健Ⅱ,INDUS4CL,2,801018
110801,动物保健Ⅲ,INDUS4CL,3,850181
110900,农业综合Ⅱ,INDUS4CL,2,801019
110901,农业综合Ⅲ,INDUS4CL,3,850191
220000,基础化工,INDUS4CL,1,801030
220200,化学原料,INDUS4CL,2,801033
220201,纯碱,INDUS4CL,3,850321
220202,氯碱,INDUS4CL,3,850322
220203,无机盐,INDUS4CL,3,850323
220204,其他化学原料,INDUS4CL,3,850324
220205,煤化工,INDUS4CL,3,850325
220206,钛白粉,INDUS4CL,3,850326
220300,化学制品,INDUS4CL,2,801034
220305,涂料油墨,INDUS4CL,3,850335
220307,民爆制品,INDUS4CL,3,850337
220308,纺织化学制品,INDUS4CL,3,850338
220309,其他化学制品,INDUS4CL,3,850339
220311,氟化工,INDUS4CL,3,850382
220313,聚氨酯,INDUS4CL,3,850372
220315,食品及饲料添加剂,INDUS4CL,3,850135
220316,有机硅,INDUS4CL,3,850136
220317,胶黏剂及胶带,INDUS4CL,3,850137
220400,化学纤维,INDUS4CL,2,801032
220401,涤纶,INDUS4CL,3,850341
220403,粘胶,INDUS4CL,3,850343
220404,其他化学纤维,INDUS4CL,3,850344
220405,氨纶,INDUS4CL,3,850345
220406,锦纶,INDUS4CL,3,850346
220500,塑料,INDUS4CL,2,801036
220501,其他塑料制品,INDUS4CL,3,850351
220503,改性塑料,INDUS4CL,3,850353
220504,合成树脂,INDUS4CL,3,850354
220505,膜材料,INDUS4CL,3,850355
220600,橡胶,INDUS4CL,2,801037
220602,其他橡胶制品,INDUS4CL,3,850362
220603,炭黑,INDUS4CL,3,850363
220604,橡胶助剂,INDUS4CL,3,850364
220800,农化制品,INDUS4CL,2,801038
220801,氮肥,INDUS4CL,3,850331
220802,磷肥及磷化工,INDUS4CL,3,850332
220803,农药,INDUS4CL,3,850333
220804,钾肥,INDUS4CL,3,850336
